,x,y
0,-500,-2602.808527251628
1,-499,-2625.5122052552415
2,-498,-2596.6133030095225
3,-497,-2583.1153618808607
4,-496,-2634.7629929557206
5,-495,-2453.9557038625353
6,-494,-2594.262313961014
7,-493,-2616.7243590656426
8,-492,-2517.6043386604833
9,-491,-2486.580348805653
10,-490,-2555.430653152949
11,-489,-2440.934419807363
12,-488,-2429.4305141357245
13,-487,-2532.9491226759437
14,-486,-2584.655444987729
15,-485,-2600.2172104440356
16,-484,-2564.4790380808877
17,-483,-2414.4655114780653
18,-482,-2434.5722018220436
19,-481,-2559.2111352269185
20,-480,-2445.3037269939327
21,-479,-2563.423965447468
22,-478,-2409.970278777397
23,-477,-2381.829357287279
24,-476,-2389.5525973583017
25,-475,-2425.626393034197
26,-474,-2545.8082275102533
27,-473,-2492.130710260576
28,-472,-2409.4398030904536
29,-471,-2417.068964120591
30,-470,-2541.830739382301
31,-469,-2499.2755382904506
32,-468,-2389.573001429774
33,-467,-2498.6727452319187
34,-466,-2410.0855133811756
35,-465,-2439.6299192429888
36,-464,-2410.2842436459596
37,-463,-2510.2510686566843
38,-462,-2426.183301368076
39,-461,-2368.4373437597947
40,-460,-2338.183172454989
41,-459,-2324.643357800782
42,-458,-2344.053021178334
43,-457,-2452.8635740362674
44,-456,-2355.593121432254
45,-455,-2333.910981006599
46,-454,-2410.1753640501006
47,-453,-2462.707472265227
48,-452,-2370.6163213841337
49,-451,-2298.761288526917
50,-450,-2335.4635346229434
51,-449,-2309.3127066335087
52,-448,-2396.9857104972393
53,-447,-2376.5713204331437
54,-446,-2340.7311330373886
55,-445,-2391.429884629724
56,-444,-2422.6550856010517
57,-443,-2317.0350615617945
58,-442,-2296.247955231831
59,-441,-2305.1003356108836
60,-440,-2303.3174056490766
61,-439,-2274.8777433454475
62,-438,-2379.80501624866
63,-437,-2257.0205288297193
64,-436,-2403.591339632986
65,-435,-2277.9166659672746
66,-434,-2259.6853384472092
67,-433,-2230.258660815682
68,-432,-2291.8515153056082
69,-431,-2289.271071377437
70,-430,-2222.689460798801
71,-429,-2373.2573521420445
72,-428,-2353.8388783883393
73,-427,-2233.0890247702964
74,-426,-2302.781031716227
75,-425,-2248.0454490520715
76,-424,-2321.4529540811577
77,-423,-2188.0969875563615
78,-422,-2213.179473494284
79,-421,-2289.904112191989
80,-420,-2320.5275820656043
81,-419,-2204.6176526838362
82,-418,-2191.3962843881277
83,-417,-2196.8583798742693
84,-416,-2213.4226673013836
85,-415,-2192.6969689929774
86,-414,-2308.2485062666383
87,-413,-2231.7382908400523
88,-412,-2309.063545307649
89,-411,-2293.3780160397405
90,-410,-2145.1625284634447
91,-409,-2292.8054696416525
92,-408,-2156.9106879239707
93,-407,-2205.2988179382655
94,-406,-2215.942851458673
95,-405,-2158.567664807637
96,-404,-2192.8746537220804
97,-403,-2183.500071642365
98,-402,-2205.189318626966
99,-401,-2177.842438607848
100,-400,-2110.302793913204
101,-399,-2167.4261796919277
102,-398,-2147.5054194120376
103,-397,-2099.0176199189445
104,-396,-2158.6351228596395
105,-395,-2142.368740761824
106,-394,-2162.2937025008005
107,-393,-2228.2191481368313
108,-392,-2209.860965113716
109,-391,-2073.348306751573
110,-390,-2218.197113638138
111,-389,-2083.298541529139
112,-388,-2096.44456140096
113,-387,-2098.0442371539325
114,-386,-2102.371782758967
115,-385,-2115.569075923602
116,-384,-2174.5346872082873
117,-383,-2105.995916787467
118,-382,-2081.33602177625
119,-381,-2070.8955356208257
120,-380,-2112.3806515776687
121,-379,-2048.8358746693957
122,-378,-2081.626538068552
123,-377,-2059.477398458278
124,-376,-2128.3409187230504
125,-375,-2116.3975343221487
126,-374,-2059.3709094165683
127,-373,-2031.349265492958
128,-372,-2099.322340770648
129,-371,-2094.656229540199
130,-370,-2027.8811410903393
131,-369,-2088.192353493359
132,-368,-2009.5124026192807
133,-367,-2022.0782897713734
134,-366,-2051.4487276771047
135,-365,-2042.7477511343718
136,-364,-2085.8683076897023
137,-363,-2056.601663947614
138,-362,-1983.4704613300385
139,-361,-2089.811813135839
140,-360,-2065.705048530497
141,-359,-2042.626526751532
142,-358,-2040.9926898984309
143,-357,-1955.2239845438644
144,-356,-2056.1241667130203
145,-355,-2025.2466443574335
146,-354,-2046.3123231417972
147,-353,-1944.7087926916713
148,-352,-2026.4018748783403
149,-351,-1948.7502970219641
150,-350,-1926.2054690479115
151,-349,-1927.1483013508423
152,-348,-2041.41555438376
153,-347,-2016.9255497644078
154,-346,-2005.6287060974123
155,-345,-1916.9174249568193
156,-344,-2002.7894617480915
157,-343,-1961.307660759694
